game_event_id,date,game_id,minute,type,club_id,player_id,description,player_in_id,player_assist_id
ec7628cc7ecb114d81cb42c7509a30e2,2012-07-22,2219794,36,Cards,58,9593,1. Yellow card,,
5bf34cace45d9a24f4f0d4e0a65b02dd,2012-07-22,2219794,87,Substitutions,58,14933,", Not reported",39475,
08d355af04e9eeb3d8c6046e2a4ab877,2012-07-22,2219794,76,Goals,58,31952,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,73912
3d18b11dec400b07822f0fd5e38cb7ab,2012-07-22,2219794,29,Cards,58,44624,1. Yellow card,,
f86a55688be3dee9ec9cc3a25c41c277,2012-07-22,2219794,46,Goals,58,44624,", Header, 1. Tournament Goal Assist: , Cross, 1. Tournament Assist",,59641
fc73f7c3a8cf0e65278ab39c00557d63,2012-07-22,2219794,46,Substitutions,498,52746,", Not reported",13292,
de9f38758ac06c1b09e9f518b916f7fb,2012-07-22,2219794,88,Substitutions,58,73912,", Not reported",31776,
c9e02731648bd98595864239b8e6b44d,2012-07-22,2219794,24,Goals,58,129588,", Right-footed shot, 1. Tournament Goal Assist:",,
fa77cf67ef9952f77490d7bf39a6f87e,2012-07-22,2219794,61,Substitutions,58,129588,", Not reported",92904,
3d1624814c4b24a116dbb6c67b629ec5,2012-07-22,2219794,78,Substitutions,498,187744,", Not reported",129580,
db9068771bfb830da58c93a668ef04c1,2012-08-31,2219795,89,Substitutions,631,3182,", Not reported",40611,
ebae9889f15cae6ceb73db78072350d4,2012-08-31,2219795,74,Goals,631,27511,", Right-footed shot, 1. Tournament Goal Assist: , Corner, 1. Tournament Assist",,3163
e508d65e2af62ab24ebce7cec31d4426,2012-08-31,2219795,60,Goals,13,33357,", Tap-in, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,39152
210cf35c2b259f6d50ef0327bc3f2439,2012-08-31,2219795,29,Cards,631,36827,"1. Yellow card  , Dissent",,
644bf043ab708eac39f6d4ada62f6654,2012-08-31,2219795,6,Goals,13,39152,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,45383
dc025ed7b7794580c8170a96a7abf4a1,2012-08-31,2219795,19,Goals,13,39152,", Left-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,74229
dfd4d0ee1bb2b06489e9c271c3192d5c,2012-08-31,2219795,45,Goals,13,39152,", Left-footed shot, 3. Tournament Goal Assist: , Pass, 1. Tournament Assist",,21369
faab8ce773910ad5b628022d5b79b09a,2012-08-31,2219795,87,Substitutions,13,39152,", Not reported",5782,
ad3edfe56119eb8a380443aa8721e548,2012-08-31,2219795,80,Substitutions,631,44068,", Not reported",47082,
09417efa35b8a774d146775b12082ea4,2012-08-31,2219795,56,Substitutions,13,45383,", Not reported",33448,
